date,left_price,right_price,spread,signal,prev_signal,beta,left_shares,right_shares,gross_pnl,costs,net_pnl,equity_curve,returns
2024-05-23,112.88,39.17,23.89715746652877,-1.0,-1.0,0.13530158162182168,248.5204212815281,-1836.788737445522,-317.40411866289446,0.0,-317.40411866289446,100551.22341981344,-0.0031467080142615345
2024-05-24,115.52,39.7,24.069961291047164,-1.0,-1.0,0.13530158162182168,244.5354906284004,-1807.3365270178133,706.3507195170453,0.0,706.3507195170453,101257.57413933048,0.007024784935414807
2024-05-28,115.6,39.32,23.679137164517414,-1.0,-1.0,0.13530158162182168,246.1780522384218,-1819.4765300416693,493.473251085641,0.0,493.473251085641,101751.04739041612,0.004873445322782777
2024-05-29,113.17,38.72,23.407920007858436,-1.0,-1.0,0.13530158162182168,250.40972259720516,-1850.7523681217533,1068.0427144808882,0.0,1068.0427144808882,102819.09010489701,0.01049662624486647
2024-05-30,116.77,38.63,22.830834314019885,-1.0,-1.0,0.13530158162182168,248.5828689758379,-1837.2502818972664,-2650.2959334555426,0.0,-2650.2959334555426,100168.79417144146,-0.025776302151202635
2024-05-31,116.16,39.99,24.273368278809194,-1.0,-1.0,0.13530158162182168,242.88235967846705,-1795.1184070955055,292.18714505510684,0.0,292.18714505510684,100460.98131649657,0.0029169478126593873
2024-06-03,116.55,39.88,24.110600661976687,-1.0,-1.0,0.13530158162182168,243.13215098689264,-1796.964588828427,-289.7699253693133,0.0,-289.7699253693133,100171.21139112726,-0.0028844026961712954
2024-06-04,113.88,39.68,24.271855884906948,-1.0,-1.0,0.13530158162182168,245.6092573007043,-1815.272625468644,81.18588239046926,0.0,81.18588239046926,100252.39727351772,0.0008104712048799811
2024-06-05,116.28,39.96,24.227132089014574,-1.0,-1.0,0.13530158162182168,242.94238507895807,-1795.562048624093,-337.2931619690911,0.0,-337.2931619690911,99915.10411154863,-0.0033644398652020735
2024-06-06,112.97,39.7,24.414980324182807,-1.0,-1.0,0.13530158162182168,246.06989761854769,-1818.6771704290343,-295.5968111816336,0.0,-295.5968111816336,99619.507300367,-0.0029584797394758278
2024-06-07,112.36,39.78,24.577514288972118,-1.0,-1.0,0.13530158162182168,246.08123818360605,-1818.760987372801,1777.444445367921,0.0,1777.444445367921,101396.95174573491,0.017842333229060037
2024-06-10,118.77,39.67,23.600231150776242,-1.0,-1.0,0.13530158162182168,242.73796683264482,-1794.051214501809,953.1412720712206,0.0,953.1412720712206,102350.09301780614,0.009400097889149084
2024-06-11,116.71,38.86,23.06895240891719,-1.0,-1.0,0.13530158162182168,247.5736286597703,-1829.7910910735516,-592.9371402286314,0.0,-592.9371402286314,101757.1558775775,-0.005793225220865006
2024-06-12,118.38,39.41,23.392998767608745,-1.0,-1.0,0.13530158162182168,244.10770673761823,-1804.1748205125793,-241.99996107211257,0.0,-241.99996107211257,101515.15591650539,-0.0023782107409061615
2024-06-13,116.28,39.26,23.52713208901457,-1.0,-1.0,0.13530158162182168,246.03478007516995,-1818.4176202969752,-64.50590742488657,0.0,-64.50590742488657,101450.6500090805,-0.0006354312993218647
2024-06-14,115.87,39.24,23.562605737479522,-1.0,-1.0,0.13530158162182168,246.37290869090097,-1820.9166939343856,-388.1708857120981,0.0,-388.1708857120981,101062.47912336841,-0.0038262040280407916
2024-06-17,116.29,39.51,23.775779073198354,0.0,-1.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,101062.47912336841,0.0
2024-06-18,117.32,39.99,24.11641844412788,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,101062.47912336841,0.0
2024-06-20,118.43,39.99,23.96623368852766,0.0,0.0,0.13530158162182168,0.0,0.0,-0.0,0.0,-0.0,101062.47912336841,0.0
2024-06-21,117.78,39.49,23.554179716581842,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,101062.47912336841,0.0
2024-06-24,118.28,40.02,24.016528925770935,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,101062.47912336841,0.0
2024-06-25,118.47,39.38,23.35082162526279,1.0,0.0,0.13530158162182168,-244.18622616412938,1804.7551494752563,-585.6906040733098,0.0,-585.6906040733098,100476.78851929509,-0.005795331849700158
2024-06-26,118.06,39.0,23.026295273727733,1.0,1.0,0.13530158162182168,-246.12054489600413,1819.0514992199423,469.5301074987464,0.0,469.5301074987464,100946.31862679384,0.004673020649028636
2024-06-27,118.0,39.25,23.284413368625042,1.0,1.0,0.13530158162182168,-245.04236915041616,1811.0828137643537,924.6100973169421,0.0,924.6100973169421,101870.92872411078,0.009159423641146303
2024-06-28,118.07,39.77,23.79494225791152,0.0,1.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,101870.92872411078,0.0
2024-07-01,118.74,40.01,23.94429019822489,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,101870.92872411078,0.0
2024-07-02,120.04,40.93,24.688398142116526,-1.0,0.0,0.13530158162182168,236.65872080714624,-1749.120135702667,-4.324488922635247,0.0,-4.324488922635247,101866.60423518815,-4.2450667494642325e-05
2024-07-03,119.8,40.9,24.69087052170576,-1.0,-1.0,0.13530158162182168,236.9176046944411,-1751.033519745867,606.8737636993701,0.0,606.8737636993701,102473.47799888752,0.005957534054028546
2024-07-05,118.74,40.41,24.34429019822489,-1.0,-1.0,0.13530158162182168,239.57482269230192,-1770.672743219898,-1047.4422760684697,0.0,-1047.4422760684697,101426.03572281906,-0.010221593884808367
2024-07-08,115.92,40.62,24.935840658398426,-1.0,-1.0,0.13530158162182168,240.30477180369004,-1776.0677216276772,-1238.2225507313437,0.0,-1238.2225507313437,100187.81317208771,-0.012208133167258994
2024-07-09,116.68,41.42,25.633011456365846,-1.0,-1.0,0.13530158162182168,236.51233016508382,-1748.0381776035254,39.00397848453042,0.0,39.00397848453042,100226.81715057224,0.00038930861199193423
2024-07-10,119.21,41.74,25.61069845486264,-1.0,-1.0,0.13530158162182168,233.8054512655351,-1728.0319155399034,320.9300688040678,0.0,320.9300688040678,100547.74721937631,0.0032020379168773427
2024-07-11,121.1,41.81,25.4249784655974,-1.0,-1.0,0.13530158162182168,232.4968322966196,-1718.3600480478203,247.8409844844143,0.0,247.8409844844143,100795.58820386072,0.0024649083777448233
2024-07-12,120.54,41.59,25.280747351305617,-1.0,-1.0,0.13530158162182168,233.68450443180754,-1727.138009997353,-60.11977431285965,0.0,-60.11977431285965,100735.46842954787,-0.0005964524378910818
2024-07-15,122.5,41.89,25.315556251326843,-1.0,-1.0,0.13530158162182168,231.4254150838343,-1710.4413142093647,-3484.250421203229,0.0,-3484.250421203229,97251.21800834464,-0.0345881195126424
2024-07-16,124.0,44.13,27.352603878894115,-1.0,-1.0,0.13530158162182168,222.1431061554385,-1641.83672868175,-380.16805005606324,0.0,-380.16805005606324,96871.04995828858,-0.003909134074016829
2024-07-17,121.18,43.98,27.584154339067645,-1.0,-1.0,0.13530158162182168,224.098859636134,-1656.2915004386832,1416.118724734805,0.0,1416.118724734805,98287.16868302338,0.014618595806947132
2024-07-18,120.33,43.01,26.729160683446196,-1.0,-1.0,0.13530158162182168,228.19980823588364,-1686.6011875139764,226.60209610899705,0.0,226.60209610899705,98513.77077913238,0.002305510466374283
2024-07-19,120.51,42.9,26.594806398754265,0.0,-1.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,98513.77077913238,0.0
2024-07-22,123.99,42.3,25.523956894710327,1.0,0.0,0.13530158162182168,-229.02952620011675,1692.7335471973408,-8.474407078394648,0.0,-8.474407078394648,98505.29637205398,-8.602256325551672e-05
2024-07-23,124.84,42.41,25.518950550331777,0.0,1.0,0.13530158162182168,0.0,0.0,-0.0,0.0,-0.0,98505.29637205398,0.0
2024-07-24,121.72,42.19,25.721091484991863,0.0,0.0,0.13530158162182168,0.0,0.0,-0.0,0.0,-0.0,98505.29637205398,0.0
2024-07-25,121.66,41.68,25.219209579889174,1.0,0.0,0.13530158162182168,-232.7136948847208,1719.9628570135526,-133.5564760124925,0.0,-133.5564760124925,98371.73989604149,-0.0013558304063981952
2024-07-26,122.16,41.67,25.141558789078264,1.0,1.0,0.13530158162182168,-232.48317103797353,1718.2590790976994,-973.3419487728668,0.0,-973.3419487728668,97398.39794726862,-0.009894528141938808
2024-07-29,122.06,41.09,24.57508894724045,1.0,1.0,0.13530158162182168,-234.8785531461038,1735.9631005837566,193.60342828617001,0.0,193.60342828617001,97592.00137555478,0.0019877475642975373
2024-07-30,122.64,41.28,24.68661402989979,1.0,1.0,0.13530158162182168,-233.7889504023906,1727.9099593665408,-2300.289158159926,0.0,-2300.289158159926,95291.71221739486,-0.023570468129943567
2024-07-31,125.31,40.31,23.355358806969527,1.0,1.0,0.13530158162182168,-236.27421529760474,1746.2782952383316,792.3157517365764,0.0,792.3157517365764,96084.02796913144,0.008314634434619217
2024-08-01,115.97,39.5,23.809075579317337,1.0,1.0,0.13530158162182168,-245.15186698180716,1811.8921009144258,-429.14360850202,0.0,-429.14360850202,95654.88436062941,-0.00446633657614659
2024-08-02,103.53,37.58,23.5722272546928,1.0,1.0,0.13530158162182168,-262.27451665691405,1938.4438342338929,-656.6131280468041,0.0,-656.6131280468041,94998.2712325826,-0.006864397280240353
2024-08-05,99.16,36.65,23.23349516638016,1.0,1.0,0.13530158162182168,-270.24371298027216,1997.3433402694736,-622.7652639424055,0.0,-622.7652639424055,94375.5059686402,-0.006555543125808083
2024-08-06,103.46,36.92,22.921698365406332,1.0,1.0,0.13530158162182168,-265.72288799573465,1963.9303902481388,836.6393302128307,0.0,836.6393302128307,95212.14529885302,0.008865004977995472
2024-08-07,103.12,37.3,23.347700903157744,1.0,1.0,0.13530158162182168,-263.99124333167305,1951.131983582785,1757.0507180271263,0.0,1757.0507180271263,96969.19601688015,0.01845406079772771
2024-08-08,103.19,38.21,24.24822979244422,1.0,1.0,0.13530158162182168,-259.33868274652986,1916.745389358429,-257.4292336921708,0.0,-257.4292336921708,96711.76678318798,-0.002654752687104356
2024-08-09,104.7,38.28,24.11392440419527,1.0,1.0,0.13530158162182168,-257.98228005575453,1906.7203573187696,221.09116838804692,0.0,221.09116838804692,96932.85795157602,0.002286083438881814
2024-08-12,103.03,38.17,24.229878045503714,1.0,1.0,0.13530158162182168,-259.6454902561349,1919.0129719389681,146.27388725760642,0.0,146.27388725760642,97079.13183883362,0.0015090227436673764
2024-08-13,104.61,38.46,24.306101546541235,1.0,1.0,0.13530158162182168,-257.159392477839,1900.6384803144374,312.9151004154152,0.0,312.9151004154152,97392.04693924903,0.0032232993279637245
2024-08-14,105.98,38.81,24.47073837971934,1.0,1.0,0.13530158162182168,-254.56907113492875,1881.493683100238,-820.7313847223529,0.0,-820.7313847223529,96571.31555452668,-0.008427088355934309
2024-08-15,110.83,39.03,24.034525708853504,0.0,1.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,96571.31555452668,0.0
2024-08-16,111.0,39.34,24.321524439977797,0.0,0.0,0.13530158162182168,0.0,0.0,0.0,0.0,0.0,96571.31555452668,0.0
2024-08-19,111.61,39.67,24.568990475188485,-1.0,0.0,0.13530158162182168,247.0313817395121,-1825.783400152585,1354.492500287998,0.0,1354.492500287998,97925.80805481468,0.014025826328556423
2024-08-20,109.85,38.69,23.827121258842887,-1.0,-1.0,0.13530158162182168,252.65043598457027,-1867.3132490849046,-256.0495434563019,0.0,-256.0495434563019,97669.75851135838,-0.0026147299526287915
